26.01.2020 00:00:48: 17h 18min | Boyevik Butch-Mac Volkev(76561198089960350) | 50K Cash
26.01.2020 22:41:40: 19h 10min | Donnie Turbo(76561198041233395) | Deleting Jonzie_Forklift @036002..
26.01.2020 22:57:25: 19h 26min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
26.01.2020 22:57:26: 19h 26min | Donnie Turbo(76561198041233395) | noRecoil - 1
26.01.2020 23:02:43: 19h 31min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
26.01.2020 23:03:05: 19h 31min | Donnie Turbo(76561198041233395) | spawning HMMWV (Civil) (HMMWV_civil)
26.01.2020 23:09:51: 19h 38min | Donnie Turbo(76561198041233395) | spawning Tractor (C_Tractor_01_F)
26.01.2020 23:10:13: 19h 38min | Donnie Turbo(76561198041233395) | locked - [C_Tractor_01_F]
26.01.2020 23:15:16: 19h 43min | Donnie Turbo(76561198041233395) | unlocked - [C_Tractor_01_F]
26.01.2020 23:16:37: 19h 45min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - Davey Jones [CIV](76561198166473448)
26.01.2020 23:22:05: 19h 50min | Donnie Turbo(76561198041233395) | Teleport to [5569.24,4341.83,0](GPS: 055012)
26.01.2020 23:23:26: 19h 52min | Donnie Turbo(76561198041233395) | spawning Tractor (C_Tractor_01_F)
26.01.2020 23:23:33: 19h 52min | Donnie Turbo(76561198041233395) | locked - [C_Tractor_01_F]
26.01.2020 23:24:15: 19h 52min | Donnie Turbo(76561198041233395) | Teleport to [5160.97,2904.86,0](GPS: 051998)
26.01.2020 23:25:23: 19h 54min | Donnie Turbo(76561198041233395) | Teleport to [3544.51,2939,0](GPS: 035998)
26.01.2020 23:26:31: 19h 55min | Donnie Turbo(76561198041233395) | unlocked - [C_Tractor_01_F]
26.01.2020 23:26:35: 19h 55min | Donnie Turbo(76561198041233395) | locked - [C_Tractor_01_F]
26.01.2020 23:27:52: 19h 56min | Donnie Turbo(76561198041233395) | HealRepairNear
26.01.2020 23:27:58: 19h 56min | Donnie Turbo(76561198041233395) | unlocked - [C_Tractor_01_F]
26.01.2020 23:28:04: 19h 56min | Donnie Turbo(76561198041233395) | locked - [C_Tractor_01_F]
26.01.2020 23:30:30: 19h 59min | Donnie Turbo(76561198041233395) | Deleting C_Tractor_01_F @038000..
26.01.2020 23:33:38: 20h 2min | Jbo Marino[201](76561198206026112) | spawning Taser M26C Stun Gun (CSW_M26C)
26.01.2020 23:36:14: 20h 4min | Jbo Marino[201](76561198206026112) | HealRepairNear
26.01.2020 23:36:15: 20h 4min | Jbo Marino[201](76561198206026112) | HealRepairNear
26.01.2020 23:47:52: 20h 16min | Jbo Marino[201](76561198206026112) | spawning Axe (Max_axe)
26.01.2020 23:48:36: 20h 17min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_Boat_Civil_01_F
26.01.2020 23:48:46: 20h 17min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - C_Boat_Civil_01_F
26.01.2020 23:48:49: 20h 17min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on [1K-33] R. Tjay(76561198883479728) - d3s_charger_15_CPP
26.01.2020 23:48:54: 20h 17min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Thomas(76561198174871239) - d3s_raptor_SCR_17
26.01.2020 23:50:17: 20h 18min | Jbo Marino[201](76561198206026112) | spawning Taser M26C Stun Gun (CSW_M26C)
26.01.2020 23:50:18: 20h 18min | Jbo Marino[201](76561198206026112) | spawning Taser M26C Stun Gun (CSW_M26C)
26.01.2020 23:50:18: 20h 18min | Jbo Marino[201](76561198206026112) | spawning Taser M26C Stun Gun (CSW_M26C)
26.01.2020 23:50:19: 20h 18min | Jbo Marino[201](76561198206026112) | spawning Taser M26C Stun Gun (CSW_M26C)
26.01.2020 23:50:50: 20h 19min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @035999..
26.01.2020 23:51:26: 20h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - d3s_boss_15
26.01.2020 23:51:30: 20h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - d3s_boss_15
26.01.2020 23:51:34: 20h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on [1K-33] R. Tjay(76561198883479728) - d3s_charger_15_CPP
26.01.2020 23:51:36: 20h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - d3s_boss_15
26.01.2020 23:51:59: 20h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Thomas(76561198174871239) - d3s_raptor_SCR_17
26.01.2020 23:52:04: 20h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - d3s_boss_15
26.01.2020 23:52:11: 20h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on [1K-33] R. Tjay(76561198883479728) - d3s_charger_15_CPP
26.01.2020 23:52:14: 20h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - d3s_boss_15
26.01.2020 23:53:24: 20h 22min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @035999..
26.01.2020 23:55:00: 20h 23min | Jbo Marino[201](76561198206026112) | spawning Glass (Cocktail) (plp_bo_inv_GlassCocktail)
26.01.2020 23:55:01: 20h 23min | Jbo Marino[201](76561198206026112) | spawning Glass (Drink) (plp_bo_inv_GlassDrink)
26.01.2020 23:55:34: 20h 24min | Jbo Marino[201](76561198206026112) | spawning Portatil (pop_portatil)
26.01.2020 23:55:38: 20h 24min | Jbo Marino[201](76561198206026112) | spawning PDA (pop_pda)
