13.01.2020 00:00:28: 1h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | Vehboost - 1
13.01.2020 06:57:12: 4h 11min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Zander Marino(76561198180893505) - d3s_explorer_EMS_13
13.01.2020 06:57:17: 4h 11min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on luke(76561198264871362) - B_RangeMaster_F
13.01.2020 06:59:30: 4h 13min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on William Jones(76561198166473448) - B_RangeMaster_F
13.01.2020 07:02:08: 4h 16min | Nino Marino(76561198206026112) | Teleport to [3586.82,3326.63,0](GPS: 035002)
13.01.2020 07:02:57: 4h 17min | Nino Marino(76561198206026112) | Teleport to [3630.86,3322.62,0](GPS: 036002)
13.01.2020 07:02:59: 4h 17min | Bob Lee Swagger(76561198318724805) | Teleport to [3558.38,3369.37,0](GPS: 035002)
13.01.2020 07:05:05: 4h 19min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
13.01.2020 07:05:18: 4h 19min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
13.01.2020 07:06:10: 4h 20min | Bob Lee Swagger(76561198318724805) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
13.01.2020 07:09:25: 4h 23min | Bob Lee Swagger(76561198318724805) | spawning SW Model 500 12.7Ã—41mm Magnum (CSW_M500)
13.01.2020 07:15:09: 4h 29min | Boyevik Butch-Mac Volkev(76561198089960350) | locked - [B_RangeMaster_F]
13.01.2020 07:18:37: 4h 32min | Bob Lee Swagger(76561198318724805) | Revive - civ_4(76561198318724805)
13.01.2020 07:18:43: 4h 32min | Bob Lee Swagger(76561198318724805) | Restrain - cop_2(76561198264871362)
13.01.2020 07:18:57: 4h 33min | Bob Lee Swagger(76561198318724805) | spawning VR Suit [NATO] (U_B_Protagonist_VR)
13.01.2020 07:20:56: 4h 34min | Bob Lee Swagger(76561198318724805) | 
13.01.2020 07:20:57: 4h 35min | Bob Lee Swagger(76561198318724805) | spawning 5Rnd 12.7x41mm Magnum (CSW_5Rnd_127x41_Magnum)
13.01.2020 07:21:49: 4h 35min | Bob Lee Swagger(76561198318724805) | God Mode - 1
13.01.2020 07:22:14: 4h 36min | Boyevik Butch-Mac Volkev(76561198089960350) | Revive - civ_1(76561198206026112)
13.01.2020 07:22:22: 4h 36min | Bob Lee Swagger(76561198318724805) | God Mode - 0
13.01.2020 07:22:26: 4h 36min | Bob Lee Swagger(76561198318724805) | Revive - cop_2(76561198264871362)
13.01.2020 07:22:36: 4h 36min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
13.01.2020 07:22:46: 4h 36min | Bob Lee Swagger(76561198318724805) | God Mode - 1
13.01.2020 07:23:29: 4h 37min | Bob Lee Swagger(76561198318724805) | Deleting GroundWeaponHolder @034011..
13.01.2020 07:23:48: 4h 37min | Bob Lee Swagger(76561198318724805) | Deleting GroundWeaponHolder @034011..
13.01.2020 07:23:51: 4h 37min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting Wyclef(76561198038112694) vehicle: C_man_1 @034011..
13.01.2020 07:26:41: 4h 40min | Nino Marino(76561198206026112) | Stealth / Invisible - 1
13.01.2020 07:26:50: 4h 40min | Bob Lee Swagger(76561198318724805) | Stealth / Invisible - 1
13.01.2020 07:26:55: 4h 40min | Bob Lee Swagger(76561198318724805) | unlocked - [d3s_charger_15_CPP]
13.01.2020 07:27:01: 4h 41min | Nino Marino(76561198206026112) | Stealth / Invisible - 0
13.01.2020 07:27:44: 4h 41min | Bob Lee Swagger(76561198318724805) | Stealth / Invisible - 0
13.01.2020 07:27:45: 4h 41min | Bob Lee Swagger(76561198318724805) | God Mode - 0
13.01.2020 07:31:12: 4h 45min | Bob Lee Swagger(76561198318724805) | Revive - civ_4(76561198318724805)
13.01.2020 07:31:21: 4h 45min | Bob Lee Swagger(76561198318724805) | Revive - cop_2(76561198264871362)
13.01.2020 07:31:24: 4h 45min | Bob Lee Swagger(76561198318724805) | Revive - civ_1(76561198206026112)
13.01.2020 07:31:27: 4h 45min | Bob Lee Swagger(76561198318724805) | Revive - medic_1(76561198180893505)
13.01.2020 07:31:34: 4h 45min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
13.01.2020 08:45:12: 0h 7min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3516.28,3097.67,0](GPS: 035000)
13.01.2020 08:45:16: 0h 7min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
13.01.2020 08:45:30: 0h 7min | Boyevik Butch-Mac Volkev(76561198089960350) | 100K Cash
13.01.2020 08:46:09: 0h 8min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3643.77,3185.67,0](GPS: 036001)
13.01.2020 23:08:50: 14h 18min | Donnie Turbo(76561198041233395) | Teleport to [1553.26,3839.36,0](GPS: 015007)
13.01.2020 23:18:00: 14h 27min | Donnie Turbo(76561198041233395) | Teleport to [3547.11,2991.19,0](GPS: 035999)
13.01.2020 23:32:56: 14h 42min | Donnie Turbo(76561198041233395) | Teleport to [5051.47,4422.57,0](GPS: 050013)
