16.02.2020 00:08:07: 6h 28min | Nino Marino(76561198206026112) | HealRepairNear
16.02.2020 05:09:43: 11h 29min | K-12 J Shepard(76561198043298972) | Deleting GroundWeaponHolder @038001..
16.02.2020 05:10:28: 11h 30min | K-12 J Shepard(76561198043298972) | Revive - cop_6(76561198860031547)
16.02.2020 06:10:46: 12h 31min | Nino Marino(76561198206026112) | Heal - civ_1(76561198180893505)
16.02.2020 06:10:48: 12h 31min | Nino Marino(76561198206026112) | Heal - civ_6(76561198264871362)
16.02.2020 06:28:26: 12h 48min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034011..
16.02.2020 20:33:43: 26h 53min | Sherman(76561198038112694) | Teleport to [4899.12,2486.95,0](GPS: 048994)
16.02.2020 20:33:57: 26h 54min | Sherman(76561198038112694) | Teleport to [4845.76,2436.37,0](GPS: 048993)
16.02.2020 21:29:30: 27h 49min | Sherman(76561198038112694) | Teleport to [3584.42,3194.57,0](GPS: 035001)
16.02.2020 22:28:53: 28h 49min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
16.02.2020 22:28:53: 28h 49min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
16.02.2020 22:28:54: 28h 49min | HoyoBani(76561198105940600) | noRecoil - 1
16.02.2020 22:43:31: 29h 3min | HoyoBani(76561198105940600) | Self Disconnect
16.02.2020 22:44:08: 29h 4min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
16.02.2020 22:44:08: 29h 4min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
16.02.2020 22:44:08: 29h 4min | HoyoBani(76561198105940600) | noRecoil - 1
16.02.2020 22:44:34: 29h 4min | HoyoBani(76561198105940600) | Teleport to [5820.47,3696.03,0](GPS: 058006)
16.02.2020 22:49:03: 29h 9min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198105940600)
16.02.2020 23:17:53: 29h 38min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:19:02: 29h 39min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:24:19: 29h 44min | HoyoBani(76561198105940600) | Teleport to [3600.17,3124.98,0](GPS: 036000)
16.02.2020 23:24:24: 29h 44min | HoyoBani(76561198105940600) | 100K Cash
16.02.2020 23:26:59: 29h 47min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:28:53: 29h 49min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:30:52: 29h 51min | Donnie Turbo(76561198041233395) | Teleport to [3151.19,5138.6,0](GPS: 031020)
16.02.2020 23:31:24: 29h 51min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:31:29: 29h 51min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:33:12: 29h 53min | Donnie Turbo(76561198041233395) | Teleport to [3569.47,3183.19,0](GPS: 035001)
16.02.2020 23:34:09: 29h 54min | HoyoBani(76561198105940600) | Mass Message: SERVER RESTART IN 2 MINUTES FOR CRITIAL UPDATES.
16.02.2020 23:36:54: 29h 57min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:37:29: 29h 57min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:37:34: 29h 57min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:53:49: 0h 2min | HoyoBani(76561198105940600) | AdminConsole
16.02.2020 23:55:33: 0h 4min | HoyoBani(76561198105940600) | Teleport to [3606.54,3122.15,0](GPS: 036000)
