27.01.2020 00:03:44: 20h 32min | Jbo Marino[201](76561198206026112) | spawning Tractor (C_Tractor_01_F)
27.01.2020 05:54:44: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_titan_17 @034008..
27.01.2020 05:54:46: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_vesta_15_EX @034008..
27.01.2020 05:54:49: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_wrx_sti_17 @034008..
27.01.2020 05:54:52: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_wrx_sti_YG @034008..
27.01.2020 05:54:58: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_FType_19_SVR @034008..
27.01.2020 05:55:01: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_model_a @034008..
27.01.2020 05:55:06: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_mclaren_18 @034008..
27.01.2020 05:55:09: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_zonda_18_R @034008..
27.01.2020 05:55:14: 2h 19min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_mclaren_18_COP @034008..
27.01.2020 05:55:20: 2h 20min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_skyline_02_M @034008..
27.01.2020 05:55:22: 2h 20min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_regera_15 @034008..
27.01.2020 05:55:26: 2h 20min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_silvia_s15_02 @034008..
27.01.2020 05:55:31: 2h 20min | [1k-40] Jose Santana(76561198206026112) | Deleting YG_silvia_s15_02 @034008..
27.01.2020 05:56:24: 2h 21min | [1k-40] Jose Santana(76561198206026112) | spawning Bugatti Divo EX'19 (d3s_divo_19_P)
27.01.2020 05:57:20: 2h 22min | [1k-40] Jose Santana(76561198206026112) | spawning Plymouth Road Runner GTX '71 (d3s_roadrunner_71_GTX)
27.01.2020 05:57:50: 2h 22min | [1k-40] Jose Santana(76561198206026112) | spawning Citroen Survolt `10 (d3s_survolt_10)
27.01.2020 05:58:59: 2h 23min | [1k-40] Jose Santana(76561198206026112) | spawning Kart (C_Kart_01_F)
27.01.2020 05:59:00: 2h 23min | [1k-40] Jose Santana(76561198206026112) | spawning Kart (C_Kart_01_F)
27.01.2020 05:59:00: 2h 23min | [1k-40] Jose Santana(76561198206026112) | spawning Kart (Bluking) (C_Kart_01_Blu_F)
27.01.2020 05:59:01: 2h 23min | [1k-40] Jose Santana(76561198206026112) | spawning Kart (Vrana) (C_Kart_01_Vrana_F)
27.01.2020 05:59:35: 2h 24min | [1k-40] Jose Santana(76561198206026112) | spawning M2A4 Slammer UP (B_MBT_01_TUSK_F)
27.01.2020 06:02:44: 2h 27min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:03:21: 2h 28min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:04:16: 2h 28min | [1k-40] Jose Santana(76561198206026112) | Deleting B_MBT_01_TUSK_F @034008..
27.01.2020 06:04:25: 2h 29min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_FType_19 @034008..
27.01.2020 06:04:31: 2h 29min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_LaFerrari_14_P @034008..
27.01.2020 06:04:35: 2h 29min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_divo_19_P @034008..
27.01.2020 06:05:10: 2h 29min | [1k-40] Jose Santana(76561198206026112) | spawning To-201 Shikra (O_Plane_Fighter_02_F)
27.01.2020 06:05:53: 2h 30min | [1k-40] Jose Santana(76561198206026112) | spawning MQ-4A Greyhawk (B_UAV_02_F)
27.01.2020 06:06:47: 2h 31min | [1k-40] Jose Santana(76561198206026112) | God Mode - 1
27.01.2020 06:06:54: 2h 31min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:06:58: 2h 31min | [1k-40] Jose Santana(76561198206026112) | Deleting B_UAV_02_F @034008..
27.01.2020 06:09:09: 2h 33min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:09:42: 2h 34min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Zander Marino [CIV](76561198180893505)
27.01.2020 06:10:15: 2h 34min | [1k-40] Jose Santana(76561198206026112) | spawning A-143 Buzzard (CAS) (I_Plane_Fighter_03_CAS_F)
27.01.2020 06:10:44: 2h 35min | [1k-40] Jose Santana(76561198206026112) | DayTime
27.01.2020 06:11:02: 2h 35min | [1k-40] Jose Santana(76561198206026112) | Deleting C_Kart_01_F @034008..
27.01.2020 06:11:07: 2h 35min | [1k-40] Jose Santana(76561198206026112) | Deleting C_Kart_01_Blu_F @034008..
27.01.2020 06:11:12: 2h 35min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Zander Marino [CIV](76561198180893505)
27.01.2020 06:11:31: 2h 36min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:11:38: 2h 36min | [1k-40] Jose Santana(76561198206026112) | Deleting C_Kart_01_Vrana_F @034008..
27.01.2020 06:11:57: 2h 36min | [1k-40] Jose Santana(76561198206026112) | Zeus Rick Cheney(76561198860031547) @035008
27.01.2020 06:11:57: 2h 36min | [1k-40] Jose Santana(76561198206026112) | Zeus - civ_2(76561198860031547)
27.01.2020 06:12:04: 2h 36min | [1k-40] Jose Santana(76561198206026112) | Zeus Rick Cheney(76561198860031547) @035008
27.01.2020 06:12:04: 2h 36min | [1k-40] Jose Santana(76561198206026112) | Zeus - civ_2(76561198860031547)
27.01.2020 06:12:12: 2h 36min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2()
27.01.2020 06:12:22: 2h 37min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:14:18: 2h 39min | [1k-40] Jose Santana(76561198206026112) | spawning F/A-181 Black Wasp II (Cluster) (B_Plane_Fighter_01_Cluster_F)
27.01.2020 06:14:30: 2h 39min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_survolt_10 @035008..
27.01.2020 06:15:10: 2h 39min | [1k-40] Jose Santana(76561198206026112) | Restore - civ_1(76561198180893505)
27.01.2020 06:16:41: 2h 41min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:18:40: 2h 43min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Zander Marino [CIV](76561198180893505)
27.01.2020 06:18:46: 2h 43min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:18:54: 2h 43min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:18:59: 2h 43min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Zander Marino [CIV](76561198180893505)
27.01.2020 06:19:10: 2h 43min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:19:40: 2h 44min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:19:47: 2h 44min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:20:27: 2h 45min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:20:50: 2h 45min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:20:56: 2h 45min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:21:16: 2h 45min | [1k-40] Jose Santana(76561198206026112) | spawning PO-30 Orca (Black & White) (O_Heli_Light_02_v2_F)
27.01.2020 06:21:23: 2h 46min | [1k-40] Jose Santana(76561198206026112) | spawning UH-80 Ghost Hawk (Camo) (B_Heli_Transport_01_camo_F)
27.01.2020 06:21:50: 2h 46min | [1k-40] Jose Santana(76561198206026112) | spawning EC635 (AT) (EC635_AT_CSAT)
27.01.2020 06:22:26: 2h 47min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:22:30: 2h 47min | [1k-40] Jose Santana(76561198206026112) | Deleting O_Heli_Light_02_v2_F @035008..
27.01.2020 06:22:43: 2h 47min | [1k-40] Jose Santana(76561198206026112) | spawning Mk32 GMG 20 mm (Raised) (O_GMG_01_high_F)
27.01.2020 06:22:47: 2h 47min | [1k-40] Jose Santana(76561198206026112) | spawning Mk30A HMG .50 (B_HMG_01_A_F)
27.01.2020 06:22:48: 2h 47min | [1k-40] Jose Santana(76561198206026112) | spawning Mk30 HMG .50 (Raised) (B_HMG_01_high_F)
27.01.2020 06:22:50: 2h 47min | [1k-40] Jose Santana(76561198206026112) | spawning Mk32 GMG 20 mm (B_GMG_01_F)
27.01.2020 06:23:21: 2h 48min | [1k-40] Jose Santana(76561198206026112) | Deleting B_Heli_Transport_01_camo_F @035008..
27.01.2020 06:23:46: 2h 48min | [1k-40] Jose Santana(76561198206026112) | Deleting B_HMG_01_high_F @035008..
27.01.2020 06:24:01: 2h 48min | [1k-40] Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @035008..
27.01.2020 06:24:03: 2h 48min | [1k-40] Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @035008..
27.01.2020 06:27:00: 2h 51min | [1k-40] Jose Santana(76561198206026112) | Deleting B_GMG_01_F @035008..
27.01.2020 06:27:06: 2h 51min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:27:10: 2h 51min | [1k-40] Jose Santana(76561198206026112) | Heal - civ_2(76561198860031547)
27.01.2020 06:27:22: 2h 52min | [1k-40] Jose Santana(76561198206026112) | Deleting Zander Marino(76561198180893505) vehicle: O_GMG_01_high_F @035008..
27.01.2020 06:27:27: 2h 52min | [1k-40] Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @035008..
27.01.2020 06:27:39: 2h 52min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_roadrunner_71_GTX @034008..
27.01.2020 06:27:44: 2h 52min | [1k-40] Jose Santana(76561198206026112) | Deleting EC635_AT_CSAT @034008..
27.01.2020 06:27:51: 2h 52min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:28:00: 2h 52min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:28:00: 2h 52min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:28:17: 2h 52min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:28:17: 2h 53min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:28:41: 2h 53min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:29:29: 2h 54min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:30:43: 2h 55min | [1k-40] Jose Santana(76561198206026112) | spawning Ford Mustang Police (MkV) '13 (d3s_boss_13_COP)
27.01.2020 06:30:47: 2h 55min | [1k-40] Jose Santana(76561198206026112) | spawning Ford Mustang GT HEIST'14 (d3s_boss_15_payback)
27.01.2020 06:30:47: 2h 55min | [1k-40] Jose Santana(76561198206026112) | spawning Ford Mustang GT Premium HPE750'14 (d3s_boss_15)
27.01.2020 06:30:48: 2h 55min | [1k-40] Jose Santana(76561198206026112) | spawning Ford Mustang Unmarked (MkV) '13 (d3s_boss_13_UNM)
27.01.2020 06:30:50: 2h 55min | [1k-40] Jose Santana(76561198206026112) | spawning Ford Mustang Boss 302 (MkV) '13 (d3s_boss_13_302)
27.01.2020 06:30:53: 2h 55min | [1k-40] Jose Santana(76561198206026112) | spawning Ford Mustang Boss (MkV) '13 (d3s_boss_13)
27.01.2020 06:31:18: 2h 56min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:31:27: 2h 56min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:31:27: 2h 56min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:31:37: 2h 56min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_boss_13_UNM @034008..
27.01.2020 06:32:30: 2h 57min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:32:50: 2h 57min | [1k-40] Jose Santana(76561198206026112) | Restore - civ_1(76561198180893505)
27.01.2020 06:33:03: 2h 57min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:33:03: 2h 57min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:33:57: 2h 58min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:34:21: 2h 59min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:34:25: 2h 59min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:35:08: 2h 59min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_boss_15_payback @035007..
27.01.2020 06:35:42: 2h 60min | [1k-40] Jose Santana(76561198206026112) | Restore - civ_1(76561198180893505)
27.01.2020 06:35:45: 2h 60min | [1k-40] Jose Santana(76561198206026112) | Restore - civ_2(76561198860031547)
27.01.2020 06:37:39: 3h 2min | [1k-40] Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @034008..
27.01.2020 06:39:13: 3h 3min | [1k-40] Jose Santana(76561198206026112) | Deleting C_Kart_01_F @035008..
27.01.2020 06:40:38: 3h 5min | [1k-40] Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @034008..
27.01.2020 06:40:41: 3h 5min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_boss_13 @034008..
27.01.2020 06:41:01: 3h 5min | [1k-40] Jose Santana(76561198206026112) | God Mode - 0
27.01.2020 06:42:09: 3h 6min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_boss_13_COP @040013..
27.01.2020 06:42:51: 3h 7min | [1k-40] Jose Santana(76561198206026112) | spawning Lamborghini Veneno Police (d3s_veneno_13_COP)
27.01.2020 06:46:28: 3h 11min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:46:37: 3h 11min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
27.01.2020 06:47:42: 3h 12min | [1k-40] Jose Santana(76561198206026112) | Teleport to [5261.83,2899.99,0](GPS: 052998)
27.01.2020 06:48:20: 3h 13min | [1k-40] Jose Santana(76561198206026112) | spawning Toyota Camry Police'18 (d3s_camry_18_COP)
27.01.2020 06:48:22: 3h 13min | [1k-40] Jose Santana(76561198206026112) | spawning Toyota Camry Police Unmarked'18 (d3s_camry_18_UNM)
27.01.2020 06:48:28: 3h 13min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_camry_18_COP @052998..
27.01.2020 06:49:18: 3h 14min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:49:18: 3h 14min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 06:53:14: 3h 17min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_camry_18_UNM @058008..
27.01.2020 06:55:01: 3h 19min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:57:47: 3h 22min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:57:58: 3h 22min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 06:58:19: 3h 23min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
27.01.2020 06:58:40: 3h 23min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 06:58:45: 3h 23min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
27.01.2020 06:58:54: 3h 23min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_boss_15 @058008..
27.01.2020 06:59:48: 3h 24min | [1k-40] Jose Santana(76561198206026112) | spawning  APRILIA MXV 450 PEINTURE 4 (V12_APRILIAMXV4504)
27.01.2020 06:59:49: 3h 24min | [1k-40] Jose Santana(76561198206026112) | spawning  APRILIA MXV 450 PEINTURE 4 (V12_APRILIAMXV4504)
27.01.2020 06:59:49: 3h 24min | [1k-40] Jose Santana(76561198206026112) | spawning  APRILIA MXV 450 PEINTURE 4 (V12_APRILIAMXV4504)
27.01.2020 06:59:50: 3h 24min | [1k-40] Jose Santana(76561198206026112) | spawning  APRILIA MXV 450 PEINTURE 3 (V12_APRILIAMXV4503)
27.01.2020 06:59:51: 3h 24min | [1k-40] Jose Santana(76561198206026112) | spawning  APRILIA MXV 450 PEINTURE 2 (V12_APRILIAMXV4502)
27.01.2020 06:59:52: 3h 24min | [1k-40] Jose Santana(76561198206026112) | spawning  APRILIA MXV 450 PEINTURE 1 (V12_APRILIAMXV450)
27.01.2020 07:00:37: 3h 25min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 07:00:37: 3h 25min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 07:00:58: 3h 25min | [1k-40] Jose Santana(76561198206026112) | Heal - civ_2(76561198860031547)
27.01.2020 07:02:27: 3h 27min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 07:02:27: 3h 27min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
27.01.2020 07:03:58: 3h 28min | [1k-40] Jose Santana(76561198206026112) | Deleting Land_RMAir_02_AtriumMF @057008..
27.01.2020 07:04:13: 3h 28min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_APRILIAMXV450 @058007..
27.01.2020 07:04:23: 3h 29min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_APRILIAMXV4503 @058007..
27.01.2020 07:04:33: 3h 29min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_APRILIAMXV4504 @057007..
27.01.2020 07:04:49: 3h 29min | [1k-40] Jose Santana(76561198206026112) | Restore - civ_2(76561198860031547)
27.01.2020 07:04:52: 3h 29min | [1k-40] Jose Santana(76561198206026112) | Restore - civ_1(76561198180893505)
27.01.2020 07:06:49: 3h 31min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Rick Cheney [CIV](76561198860031547)
27.01.2020 07:06:54: 3h 31min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2()
27.01.2020 07:07:23: 3h 32min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:07:27: 3h 32min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:07:28: 3h 32min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:07:28: 3h 32min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:07:39: 3h 32min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_APRILIAMXV4502 @072008..
27.01.2020 07:07:50: 3h 32min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:07:58: 3h 32min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Rick Cheney [CIV](76561198860031547)
27.01.2020 07:08:15: 3h 32min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:08:17: 3h 32min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Or (V12_YZF_OR)
27.01.2020 07:08:18: 3h 33min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Bleu Chromer (V12_YZF_BC)
27.01.2020 07:08:20: 3h 33min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Vert Or (V12_YZF_VO)
27.01.2020 07:08:21: 3h 33min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:08:41: 3h 33min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_YZF_OR @072008..
27.01.2020 07:08:45: 3h 33min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_YZF_VO @072008..
27.01.2020 07:09:35: 3h 34min | [1k-40] Jose Santana(76561198206026112) | Heal - civ_2(76561198860031547)
27.01.2020 07:09:37: 3h 34min | [1k-40] Jose Santana(76561198206026112) | Heal - cop_1(76561198206026112)
27.01.2020 07:09:39: 3h 34min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_1(76561198180893505)
27.01.2020 07:09:49: 3h 34min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_YZF_MAT @062008..
27.01.2020 07:09:54: 3h 34min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_YZF_MAT @062008..
27.01.2020 07:10:08: 3h 34min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_YZF_BC @061008..
27.01.2020 07:10:28: 3h 35min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:10:28: 3h 35min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:10:28: 3h 35min | [1k-40] Jose Santana(76561198206026112) | spawning YAMAHA YZF Noir Mat (V12_YZF_MAT)
27.01.2020 07:10:42: 3h 35min | [1k-40] Jose Santana(76561198206026112) | DayTime
27.01.2020 07:12:01: 3h 36min | [1k-40] Jose Santana(76561198206026112) | Deleting d3s_veneno_13_COP @052998..
27.01.2020 07:12:36: 3h 37min | [1k-40] Jose Santana(76561198206026112) | Teleport to [5015.1,1940.22,0](GPS: 050988)
27.01.2020 07:12:50: 3h 37min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:13:06: 3h 37min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:13:15: 3h 37min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Rick Cheney [CIV](76561198860031547)
27.01.2020 07:13:18: 3h 38min | [1k-40] Jose Santana(76561198206026112) | Teleport - Target To Me - Zander Marino [CIV](76561198180893505)
27.01.2020 07:13:30: 3h 38min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_2(76561198860031547)
27.01.2020 07:13:38: 3h 38min | [1k-40] Jose Santana(76561198206026112) | Heal - civ_1(76561198180893505)
27.01.2020 07:14:36: 3h 39min | [1k-40] Jose Santana(76561198206026112) | Deleting V12_YZF_MAT @050989..
27.01.2020 07:14:40: 3h 39min | [1k-40] Jose Santana(76561198206026112) | Deleting  @050989..
27.01.2020 07:16:58: 3h 41min | [1k-40] Jose Santana(76561198206026112) | Teleport to [4910.65,1931,0](GPS: 049988)
27.01.2020 07:18:28: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning agua limpia (pop_agualimpia)
27.01.2020 07:18:28: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Alcohol (pop_alcohol)
27.01.2020 07:18:30: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning opio (200g)  (pop_opio_b)
27.01.2020 07:18:31: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
27.01.2020 07:18:32: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning coca (200g) (pop_coca_b)
27.01.2020 07:18:34: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning coca (200g) (pop_coca_b)
27.01.2020 07:18:34: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning coca (200g) (pop_coca_b)
27.01.2020 07:18:34: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning coca (200g) (pop_coca_b)
27.01.2020 07:18:35: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning coca (200g) (pop_coca_b)
27.01.2020 07:18:36: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Efedrina (200g) (pop_efedrina_b)
27.01.2020 07:18:36: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Efedrina (200g) (pop_efedrina_b)
27.01.2020 07:18:37: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Efedrina para hace meta (200g) (pop_efedrina_meta_b)
27.01.2020 07:18:38: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Metanfetamina (200g) (pop_meta_b)
27.01.2020 07:18:39: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Metanfetamina (200g) (pop_meta_b)
27.01.2020 07:18:39: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Metanfetamina (200g) (pop_meta_b)
27.01.2020 07:18:39: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Metanfetamina (200g) (pop_meta_b)
27.01.2020 07:18:50: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Armario grande (pop_armariog)
27.01.2020 07:18:51: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Armario bajo (pop_armariop)
27.01.2020 07:18:52: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Armario bajo (pop_armariop)
27.01.2020 07:19:01: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Componentes (pop_componentes)
27.01.2020 07:19:03: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Test de drogas (pop_drogotest)
27.01.2020 07:19:04: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Metadona (pop_metadona)
27.01.2020 07:19:05: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning esposas (pop_esposas)
27.01.2020 07:19:06: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Heroina (1Kg) (pop_heroina_f)
27.01.2020 07:19:08: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:08: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:09: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:09: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:09: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:10: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:10: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:10: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:11: 3h 43min | [1k-40] Jose Santana(76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
27.01.2020 07:19:33: 3h 44min | [1k-40] Jose Santana(76561198206026112) | Deleting WeaponHolderSimulated @049988..
27.01.2020 07:22:43: 3h 47min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_2(76561198180893505)
27.01.2020 07:23:00: 3h 47min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
