01.02.2020 00:21:46: 31h 54min | Donnie Turbo(76561198041233395) | spawning PDW2000 9Â mm (hgun_PDW2000_Holo_snds_F)
01.02.2020 07:43:14: 3h 15min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on John Jamison(76561198135174268) - d3s_fseries_17
01.02.2020 07:43:16: 3h 15min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on () - 
01.02.2020 07:43:19: 3h 15min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Jbo Marino[201](76561198206026112) - d3s_raptor_EMS_17
01.02.2020 07:44:44: 3h 16min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Robert Kennedy(76561198083728776) - C_man_1
01.02.2020 07:45:13: 3h 17min | Jbo Marino[201](76561198206026112) | Teleport - Me To Target - Robert Kennedy [CIV](76561198083728776)
01.02.2020 07:46:04: 3h 18min | Jbo Marino[201](76561198206026112) | Teleport to [3502.06,2984.64,0](GPS: 035999)
01.02.2020 07:46:19: 3h 18min | Jbo Marino[201](76561198206026112) | Teleport to [2661.6,4551.61,0](GPS: 026014)
01.02.2020 07:48:11: 3h 20min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - C_man_1
01.02.2020 07:48:48: 3h 20min | Jbo Marino[201](76561198206026112) | Teleport - Me To Target - Javier Escuella [CIV](76561198370210333)
01.02.2020 07:59:15: 3h 31min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
01.02.2020 07:59:15: 3h 31min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
01.02.2020 07:59:16: 3h 31min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
01.02.2020 07:59:16: 3h 31min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
01.02.2020 08:00:02: 3h 32min | Jbo Marino[201](76561198206026112) | spawning Vest (Press) (V_Press_F)
01.02.2020 08:00:08: 3h 32min | Jbo Marino[201](76561198206026112) | spawning Press Helmet (H_PASGT_basic_blue_press_F)
01.02.2020 08:00:46: 3h 32min | Jbo Marino[201](76561198206026112) | Teleport to [2741.45,4573.95,0](GPS: 027015)
01.02.2020 08:04:42: 3h 36min | Jbo Marino[201](76561198206026112) | Added 3 donutss to Jbo Marino[201]!
01.02.2020 08:08:39: 3h 40min | Jbo Marino[201](76561198206026112) | spawning Combat Helmet (Camo) (H_HelmetB_camo)
01.02.2020 08:08:56: 3h 40min | Jbo Marino[201](76561198206026112) | spawning Cap [OPFOR] (H_Cap_brn_SPECOPS)
01.02.2020 08:09:02: 3h 41min | Jbo Marino[201](76561198206026112) | spawning Cap [AAF] (H_Cap_blk_Raven)
01.02.2020 08:09:19: 3h 41min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @026010..
01.02.2020 08:16:43: 3h 48min | Jbo Marino[201](76561198206026112) | God Mode - 1
01.02.2020 08:27:30: 3h 59min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
01.02.2020 08:27:33: 3h 59min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3750.34,3265.26,0](GPS: 037001)
01.02.2020 08:30:11: 4h 2min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [6804.87,2477.55,0](GPS: 068994)
01.02.2020 08:31:23: 4h 3min | Boyevik Butch-Mac Volkev(76561198089960350) | Mass Message: Someone is breaking into the Federal Reserve!!!!
01.02.2020 08:37:26: 4h 9min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning M14-DMR (hlc_rifle_m14dmr)
01.02.2020 08:39:38: 4h 11min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Katiba 6.5 mm (arifle_Katiba_ARCO_pointer_F)
01.02.2020 08:39:38: 4h 11min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Katiba 6.5 mm (arifle_Katiba_ARCO_pointer_F)
01.02.2020 08:40:53: 4h 12min | Boyevik Butch-Mac Volkev(76561198089960350) | DayTime
01.02.2020 08:41:15: 4h 13min | Boyevik Butch-Mac Volkev(76561198089960350) | Mass Message: The Federal Reserve Vault is being Robbed!!!!!
01.02.2020 08:49:30: 4h 21min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on AL "BIG AL" GAMBINO(76561198361509989) - O_Truck_03_device_F
01.02.2020 08:49:43: 4h 21min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
01.02.2020 08:49:54: 4h 21min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - C_man_1
01.02.2020 08:50:16: 4h 22min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on John Jamison(76561198135174268) - C_man_1
01.02.2020 08:50:18: 4h 22min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - B_RangeMaster_F
01.02.2020 08:50:21: 4h 22min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Robert Kennedy(76561198083728776) - B_RangeMaster_F
01.02.2020 08:50:26: 4h 22min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - B_RangeMaster_F
01.02.2020 08:50:29: 4h 22min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Vicente Carrillo(76561198388284702) - C_man_1
01.02.2020 08:50:30: 4h 22min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Warren Blades(76561198281290777) - B_RangeMaster_F
01.02.2020 08:50:34: 4h 22min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Joe Montana(76561198368248470) - C_man_1
01.02.2020 08:50:50: 4h 22min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
01.02.2020 08:51:17: 4h 23min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Robert Kennedy(76561198083728776) - B_RangeMaster_F
01.02.2020 08:53:30: 4h 25min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Vicente Carrillo(76561198388284702) - C_man_1
01.02.2020 08:53:35: 4h 25min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Warren Blades(76561198281290777) - B_RangeMaster_F
01.02.2020 08:53:38: 4h 25min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Robert Kennedy(76561198083728776) - B_RangeMaster_F
01.02.2020 08:53:40: 4h 25min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - B_RangeMaster_F
01.02.2020 08:53:43: 4h 25min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on John Jamison(76561198135174268) - C_man_1
01.02.2020 08:53:45: 4h 25min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Joe Montana(76561198368248470) - C_man_1
01.02.2020 08:53:50: 4h 25min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - C_man_1
01.02.2020 09:09:53: 4h 41min | Jbo Marino[201](76561198206026112) | Teleport to [6841.9,2553.11,0](GPS: 068994)
01.02.2020 09:13:24: 4h 45min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - C_man_1
01.02.2020 09:15:56: 4h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [6814.6,2494,0](GPS: 068994)
01.02.2020 09:16:03: 4h 48min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3419.17,3205.2,0](GPS: 034001)
01.02.2020 09:20:45: 4h 52min | Jbo Marino[201](76561198206026112) | Teleport - Target To Me - Rick Cheney [CIV](76561198860031547)
01.02.2020 09:28:12: 4h 60min | Jbo Marino[201](76561198206026112) | spawning EMS AMS Pilot Official (niedobity_ems_ams_official)
01.02.2020 09:31:13: 5h 3min | Jbo Marino[201](76561198206026112) | God Mode - 1
01.02.2020 09:31:17: 5h 3min | Jbo Marino[201](76561198206026112) | Revive - civ_2(76561198180893505)
01.02.2020 09:44:06: 5h 16min | Jbo Marino[201](76561198206026112) | Added 1 toolkits to Rick Cheney!
01.02.2020 09:44:16: 5h 16min | Jbo Marino[201](76561198206026112) | Added 1 toolkits to Jbo Marino[201]!
01.02.2020 09:53:39: 5h 25min | Jbo Marino[201](76561198206026112) | DayTime
01.02.2020 09:58:11: 5h 30min | Jbo Marino[201](76561198206026112) | Teleport to [3407.16,4170.73,0](GPS: 034010)
01.02.2020 09:59:16: 5h 31min | Jbo Marino[201](76561198206026112) | HealRepairNear
01.02.2020 09:59:16: 5h 31min | Jbo Marino[201](76561198206026112) | HealRepairNear
01.02.2020 09:59:21: 5h 31min | Jbo Marino[201](76561198206026112) | locked - [d3s_boss_15]
01.02.2020 09:59:32: 5h 31min | Jbo Marino[201](76561198206026112) | unlocked - [d3s_actros_14]
01.02.2020 09:59:44: 5h 31min | Jbo Marino[201](76561198206026112) | Teleport to [4979.77,4406.05,0](GPS: 049013)
01.02.2020 10:01:19: 5h 33min | Jbo Marino[201](76561198206026112) | unlocked - [d3s_ghibli_14_nerissimo]
01.02.2020 10:01:30: 5h 33min | Jbo Marino[201](76561198206026112) | Teleport to [3426.1,4163.95,0](GPS: 034010)
01.02.2020 10:01:46: 5h 33min | Jbo Marino[201](76561198206026112) | locked - [d3s_ghibli_14_nerissimo]
01.02.2020 10:01:57: 5h 33min | Jbo Marino[201](76561198206026112) | Teleport to [5009.54,4408.78,0](GPS: 050013)
01.02.2020 10:05:47: 5h 37min | Jbo Marino[201](76561198206026112) | God Mode - 1
01.02.2020 10:06:23: 5h 38min | Jbo Marino[201](76561198206026112) | Added 5 fuelFulls to Jbo Marino[201]!
01.02.2020 10:18:24: 5h 50min | Jbo Marino[201](76561198206026112) | Move In Target Vehicle - Rick Cheney [CIV](76561198860031547)
01.02.2020 10:24:37: 5h 56min | Jbo Marino[201](76561198206026112) | unlocked - [d3s_actros_14]
01.02.2020 10:26:59: 5h 59min | Jbo Marino[201](76561198206026112) | Teleport to [4569.28,3918.06,0](GPS: 045008)
01.02.2020 10:29:34: 6h 1min | Jbo Marino[201](76561198206026112) | Teleport to [5279.02,2306.87,0](GPS: 052992)
01.02.2020 10:29:56: 6h 1min | Jbo Marino[201](76561198206026112) | Teleport to [3156.84,3884.6,0](GPS: 031008)
01.02.2020 10:30:44: 6h 2min | Jbo Marino[201](76561198206026112) | Teleport to [4563.21,3928.68,0](GPS: 045008)
01.02.2020 10:31:01: 6h 3min | Jbo Marino[201](76561198206026112) | Teleport to [4636.66,3756.36,0](GPS: 046006)
01.02.2020 10:31:08: 6h 3min | Jbo Marino[201](76561198206026112) | Teleport to [4391.29,3864.46,0](GPS: 043007)
01.02.2020 10:31:42: 6h 3min | Jbo Marino[201](76561198206026112) | Added 2 storagebigs to Rick Cheney!
01.02.2020 10:32:41: 6h 4min | Jbo Marino[201](76561198206026112) | Teleport to [5269.02,2300.97,0](GPS: 052992)
01.02.2020 10:33:08: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - C_man_1
01.02.2020 10:33:17: 6h 5min | Jbo Marino[201](76561198206026112) | Teleport to [2897.61,3633.99,0](GPS: 028005)
01.02.2020 10:33:23: 6h 5min | Jbo Marino[201](76561198206026112) | 
01.02.2020 10:34:12: 6h 6min | Jbo Marino[201](76561198206026112) | Added 2 storagebigs to Rick Cheney!
01.02.2020 10:34:39: 6h 6min | Jbo Marino[201](76561198206026112) | Added 2 storagebigs to Rick Cheney!
01.02.2020 10:34:51: 6h 6min | Jbo Marino[201](76561198206026112) | Teleport to [4386.13,3866.5,0](GPS: 043007)
01.02.2020 10:35:10: 6h 7min | Jbo Marino[201](76561198206026112) | Added 1 pickaxes to Robert Kennedy!
01.02.2020 10:38:44: 6h 10min | Jbo Marino[201](76561198206026112) | Teleport to [2877.79,3637.86,0](GPS: 028005)
01.02.2020 10:39:02: 6h 11min | Jbo Marino[201](76561198206026112) | Teleport to [4579.43,3903.24,0](GPS: 045008)
01.02.2020 10:39:38: 6h 11min | Jbo Marino[201](76561198206026112) | Teleport to [2875.23,3638.15,0](GPS: 028005)
01.02.2020 10:39:56: 6h 11min | Jbo Marino[201](76561198206026112) | Teleport to [4568.01,3925.14,0](GPS: 045008)
01.02.2020 10:42:46: 6h 14min | Jbo Marino[201](76561198206026112) | Teleport to [5273.09,2302.88,0](GPS: 052992)
01.02.2020 10:43:06: 6h 15min | Jbo Marino[201](76561198206026112) | Teleport to [4402.77,3870.9,0](GPS: 044007)
01.02.2020 10:43:28: 6h 15min | Jbo Marino[201](76561198206026112) | Teleport to [4591.44,3863.41,0](GPS: 045007)
01.02.2020 10:46:36: 6h 18min | Jbo Marino[201](76561198206026112) | Teleport to [5278.56,2309.38,0](GPS: 052992)
01.02.2020 10:47:02: 6h 19min | Jbo Marino[201](76561198206026112) | Teleport to [4406.84,3869.35,0](GPS: 044007)
01.02.2020 10:47:28: 6h 19min | Jbo Marino[201](76561198206026112) | Teleport to [3127.62,3868.02,0](GPS: 031007)
01.02.2020 10:48:24: 6h 20min | Jbo Marino[201](76561198206026112) | Teleport to [4588.32,3861.34,0](GPS: 045007)
01.02.2020 10:48:39: 6h 20min | Jbo Marino[201](76561198206026112) | Teleport to [5276.97,2317.88,0](GPS: 052992)
01.02.2020 10:51:46: 6h 23min | Jbo Marino[201](76561198206026112) | Teleport to [3402.41,4163.39,0](GPS: 034010)
01.02.2020 10:52:10: 6h 24min | Jbo Marino[201](76561198206026112) | Teleport to [5271.98,2298.85,0](GPS: 052992)
01.02.2020 10:52:24: 6h 24min | Jbo Marino[201](76561198206026112) | Teleport to [3107.61,3866.56,0](GPS: 031007)
01.02.2020 10:52:47: 6h 24min | Jbo Marino[201](76561198206026112) | Teleport to [5274.86,2301.56,0](GPS: 052992)
01.02.2020 10:53:01: 6h 25min | Jbo Marino[201](76561198206026112) | Teleport to [3110.76,3867.68,0](GPS: 031007)
01.02.2020 10:53:33: 6h 25min | Jbo Marino[201](76561198206026112) | Teleport to [3407.25,4178.31,0](GPS: 034011)
01.02.2020 10:55:01: 6h 27min | Jbo Marino[201](76561198206026112) | unlocked - [d3s_ghibli_14_nerissimo]
01.02.2020 10:55:32: 6h 27min | Jbo Marino[201](76561198206026112) | HealRepairNear
01.02.2020 10:55:32: 6h 27min | Jbo Marino[201](76561198206026112) | HealRepairNear
01.02.2020 10:55:51: 6h 27min | Jbo Marino[201](76561198206026112) | HealRepairNear
01.02.2020 10:55:51: 6h 27min | Jbo Marino[201](76561198206026112) | HealRepairNear
01.02.2020 10:56:15: 6h 28min | Jbo Marino[201](76561198206026112) | locked - [d3s_ghibli_14_nerissimo]
01.02.2020 10:56:28: 6h 28min | Jbo Marino[201](76561198206026112) | Teleport to [3449.55,4166.26,0](GPS: 034010)
01.02.2020 10:56:42: 6h 28min | Jbo Marino[201](76561198206026112) | unlocked - [d3s_boss_15]
01.02.2020 10:56:51: 6h 28min | Jbo Marino[201](76561198206026112) | Teleport to [2832.65,3636.28,0](GPS: 028005)
01.02.2020 10:57:20: 6h 29min | Jbo Marino[201](76561198206026112) | locked - [d3s_boss_15]
01.02.2020 10:57:39: 6h 29min | Jbo Marino[201](76561198206026112) | Added 2 storagebigs to Stanley Thompson [1K-75]!
01.02.2020 10:58:12: 6h 30min | Jbo Marino[201](76561198206026112) | Teleport to [3440.03,4180.57,0](GPS: 034011)
01.02.2020 10:58:37: 6h 30min | Jbo Marino[201](76561198206026112) | Teleport to [3123.61,3871.63,0](GPS: 031007)
01.02.2020 10:59:08: 6h 31min | Jbo Marino[201](76561198206026112) | locked - [d3s_g500_18_EMS]
01.02.2020 10:59:51: 6h 31min | Jbo Marino[201](76561198206026112) | Teleport to [2872.97,3939.76,0](GPS: 028008)
01.02.2020 10:59:58: 6h 31min | Jbo Marino[201](76561198206026112) | DayTime
01.02.2020 11:00:58: 6h 32min | Jbo Marino[201](76561198206026112) | Teleport to [2846.8,3884.79,0](GPS: 028008)
01.02.2020 11:01:21: 6h 33min | Jbo Marino[201](76561198206026112) | Teleport to [2821.67,3768.03,0](GPS: 028006)
01.02.2020 11:01:32: 6h 33min | Jbo Marino[201](76561198206026112) | Teleport to [2767.54,3603.26,0](GPS: 027005)
01.02.2020 11:02:04: 6h 34min | Jbo Marino[201](76561198206026112) | Teleport to [1652.52,3622.92,0](GPS: 016005)
01.02.2020 11:04:11: 6h 36min | Jbo Marino[201](76561198206026112) | Teleport to [1905.59,3974.93,0](GPS: 019009)
01.02.2020 11:04:30: 6h 36min | Jbo Marino[201](76561198206026112) | Teleport to [3146.62,3917.81,0](GPS: 031008)
01.02.2020 11:04:50: 6h 36min | Jbo Marino[201](76561198206026112) | Teleport to [3387.7,4147.23,0](GPS: 033010)
01.02.2020 11:05:27: 6h 37min | Jbo Marino[201](76561198206026112) | Teleport to [2952.33,3637.91,0](GPS: 029005)
01.02.2020 11:05:36: 6h 37min | Jbo Marino[201](76561198206026112) | Teleport - Target To Me - Stanley Thompson [1K-75] [CIV](76561198180893505)
01.02.2020 11:05:51: 6h 37min | Jbo Marino[201](76561198206026112) | Teleport to [3424.73,4174.43,0](GPS: 034011)
01.02.2020 23:50:41: 19h 22min | Nino Marino(76561198206026112) | DayTime
01.02.2020 23:51:03: 19h 23min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Joe Montana(76561198368248470) - C_man_1
01.02.2020 23:51:28: 19h 23min | Nino Marino(76561198206026112) | Move In Target Vehicle - Nino Marino [CIV](76561198206026112)
01.02.2020 23:51:32: 19h 23min | Nino Marino(76561198206026112) | Move In Target Vehicle - Joe Montana [CIV](76561198368248470)
01.02.2020 23:58:59: 19h 31min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Joe Montana(76561198368248470) - d3s_actros_14
01.02.2020 23:59:10: 19h 31min | Nino Marino(76561198206026112) | HealRepairNear
