30.01.2020 00:12:14: 1h 2min | Nino Marino(76561198206026112) | 500K Cash
30.01.2020 05:11:49: 6h 1min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - d3s_charger_15_CPP
30.01.2020 05:11:54: 6h 1min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - d3s_charger_15_CPP
30.01.2020 05:12:00: 6h 2min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - C_man_1
30.01.2020 05:15:09: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - B_RangeMaster_F
30.01.2020 05:15:12: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on [1K-12] J Shepard(76561198043298972) - B_RangeMaster_F
30.01.2020 05:15:13: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
30.01.2020 05:15:14: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Carlos F. Diaz(76561197999316388) - C_man_1
30.01.2020 05:15:28: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - C_man_1
30.01.2020 05:15:34: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - B_RangeMaster_F
30.01.2020 05:15:37: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Stanley Thompson [1K-75](76561198180893505) - B_RangeMaster_F
30.01.2020 05:15:38: 6h 5min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - C_man_1
30.01.2020 05:22:38: 6h 12min | Carlos F. Diaz(76561197999316388) | Teleport to [3548.46,3101.58,0](GPS: 035000)
30.01.2020 05:24:44: 6h 14min | Carlos F. Diaz(76561197999316388) | Teleport to [3934.35,3618.92,0](GPS: 039005)
30.01.2020 05:26:26: 6h 16min | Jbo Marino[201](76561198206026112) | spawning EMS Captain (niedobity_ems_captain)
30.01.2020 05:26:28: 6h 16min | Jbo Marino[201](76561198206026112) | spawning EMS Captain (niedobity_ems_captain)
30.01.2020 05:26:28: 6h 16min | Jbo Marino[201](76561198206026112) | spawning EMS Captain (niedobity_ems_captain)
30.01.2020 05:26:29: 6h 16min | Jbo Marino[201](76561198206026112) | spawning EMS Captain (niedobity_ems_captain)
30.01.2020 05:26:39: 6h 16min | Jbo Marino[201](76561198206026112) | spawning EMS A&E (niedobity_ems_ae)
30.01.2020 05:26:40: 6h 16min | Jbo Marino[201](76561198206026112) | spawning EMS A&E (niedobity_ems_ae)
30.01.2020 05:26:40: 6h 16min | Jbo Marino[201](76561198206026112) | spawning EMS A&E (niedobity_ems_ae)
30.01.2020 05:28:15: 6h 18min | Jbo Marino[201](76561198206026112) | Deleting WeaponHolderSimulated @039005..
30.01.2020 05:31:56: 6h 21min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 4 zipties to Boyevik Butch-Mac Volkev!
30.01.2020 05:32:00: 6h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 4 blindfolds to Boyevik Butch-Mac Volkev!
30.01.2020 05:32:03: 6h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 4 gags to Boyevik Butch-Mac Volkev!
30.01.2020 05:32:07: 6h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 4 lockpicks to Boyevik Butch-Mac Volkev!
30.01.2020 05:33:19: 6h 23min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @039005..
30.01.2020 05:37:30: 6h 27min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @035999..
30.01.2020 05:37:53: 6h 27min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - d3s_uaz_3165M_EMS
30.01.2020 05:38:22: 6h 28min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
30.01.2020 05:38:38: 6h 28min | Jbo Marino[201](76561198206026112) | God Mode - 1
30.01.2020 05:38:39: 6h 28min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 05:38:42: 6h 28min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 05:38:43: 6h 28min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 05:38:52: 6h 28min | Jbo Marino[201](76561198206026112) | Teleport to [3524.75,4008.86,0](GPS: 035009)
30.01.2020 05:39:12: 6h 29min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 05:39:12: 6h 29min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 05:39:13: 6h 29min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 05:40:13: 6h 30min | Jbo Marino[201](76561198206026112) | Teleport to [3591.11,3019.22,0](GPS: 035999)
30.01.2020 05:40:26: 6h 30min | Jbo Marino[201](76561198206026112) | God Mode - 0
30.01.2020 05:40:27: 6h 30min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 05:40:32: 6h 30min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - d3s_uaz_3165M_EMS
30.01.2020 05:42:14: 6h 32min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 05:47:14: 6h 37min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
30.01.2020 05:51:01: 6h 41min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 05:51:02: 6h 41min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 05:51:04: 6h 41min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 05:51:07: 6h 41min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 05:51:36: 6h 41min | Jbo Marino[201](76561198206026112) | spawning Hit (Max_Hit_light)
30.01.2020 05:51:37: 6h 41min | Jbo Marino[201](76561198206026112) | spawning Hit (Max_Hit_light)
30.01.2020 05:51:38: 6h 41min | Jbo Marino[201](76561198206026112) | spawning Hit (Max_Hit_light)
30.01.2020 05:51:38: 6h 41min | Jbo Marino[201](76561198206026112) | spawning Hit (Max_Hit_light)
30.01.2020 05:51:39: 6h 41min | Jbo Marino[201](76561198206026112) | spawning Hit (Max_Hit_hard)
30.01.2020 05:51:40: 6h 41min | Jbo Marino[201](76561198206026112) | spawning Hit (Max_Hit_hard)
30.01.2020 05:51:40: 6h 41min | Jbo Marino[201](76561198206026112) | spawning Hit (Max_Hit_hard)
30.01.2020 05:51:41: 6h 41min | Jbo Marino[201](76561198206026112) | spawning Hit (Max_Hit_hard)
30.01.2020 06:07:50: 6h 57min | Boyevik Butch-Mac Volkev(76561198089960350) | noRecoil - 1
30.01.2020 06:07:53: 6h 57min | Boyevik Butch-Mac Volkev(76561198089960350) | clear ingame AdminLog
30.01.2020 06:07:58: 6h 58min | Jbo Marino[201](76561198206026112) | Heal - cop_1(76561198054085448)
30.01.2020 06:09:53: 6h 59min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
30.01.2020 06:15:23: 7h 5min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @035999..
30.01.2020 06:16:44: 7h 6min | Jbo Marino[201](76561198206026112) | Added 4 cocaine_processeds to Jbo Marino[201]!
30.01.2020 06:16:53: 7h 6min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - C_man_1
30.01.2020 06:17:01: 7h 7min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Jbo Marino[201](76561198206026112) - B_RangeMaster_F
30.01.2020 06:17:02: 7h 7min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - d3s_charger_15_CPP
30.01.2020 06:17:23: 7h 7min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 06:17:25: 7h 7min | Jbo Marino[201](76561198206026112) | God Mode - 1
30.01.2020 06:17:26: 7h 7min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 06:17:27: 7h 7min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 06:17:38: 7h 7min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rick Cheney(76561198860031547) - B_RangeMaster_F
30.01.2020 06:18:03: 7h 8min | Jbo Marino[201](76561198206026112) | Teleport to [5617.61,4268.04,0](GPS: 056011)
30.01.2020 06:18:48: 7h 8min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 06:18:49: 7h 8min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
30.01.2020 06:25:28: 7h 15min | Jbo Marino[201](76561198206026112) | Teleport to [3602.29,3007.4,0](GPS: 036999)
30.01.2020 06:25:49: 7h 15min | Jbo Marino[201](76561198206026112) | God Mode - 0
30.01.2020 06:25:50: 7h 15min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
30.01.2020 06:41:53: 7h 31min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 06:44:01: 7h 34min | Boyevik Butch-Mac Volkev(76561198089960350) | Added 1 pickaxes to Boyevik Butch-Mac Volkev!
30.01.2020 07:15:28: 8h 5min | Wyclef(76561198038112694) | Teleport to [3513.19,3026.54,0](GPS: 035999)
30.01.2020 07:16:28: 8h 6min | Wyclef(76561198038112694) | Teleport to [3925.47,3613.46,0](GPS: 039005)
30.01.2020 07:19:23: 8h 9min | Nino Marino(76561198206026112) | Teleport to [3126.41,5072.98,0](GPS: 031020)
30.01.2020 07:21:02: 8h 11min | Nino Marino(76561198206026112) | 100K Cash
30.01.2020 07:23:45: 8h 13min | Nino Marino(76561198206026112) | Teleport - Target To Me - AL "BIG AL" GAMBINO [CIV](76561198361509989)
30.01.2020 07:31:06: 8h 21min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @039005..
30.01.2020 07:31:12: 8h 21min | Boyevik Butch-Mac Volkev(76561198089960350) | Self Disconnect
30.01.2020 07:48:07: 8h 38min | Nino Marino(76561198206026112) | Added 3 cocaine_processeds to Nino Marino!
30.01.2020 07:48:14: 8h 38min | Nino Marino(76561198206026112) | Added 3 waterBottles to Nino Marino!
30.01.2020 07:48:18: 8h 38min | Nino Marino(76561198206026112) | Added 3 tbacons to Nino Marino!
30.01.2020 07:51:06: 8h 41min | Wyclef(76561198038112694) | Teleport In Facing Direction (10m steps) - 1
30.01.2020 07:51:11: 8h 41min | Wyclef(76561198038112694) | Teleport to [3836.7,3244.04,0](GPS: 038001)
30.01.2020 08:13:38: 9h 3min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @038001..
30.01.2020 08:21:23: 9h 11min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 08:25:01: 9h 15min | Wyclef(76561198038112694) | Revive - civ_4(76561198038112694)
30.01.2020 08:25:40: 9h 15min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Davey Jones(76561198166473448) - d3s_wrx_sti_17
30.01.2020 08:25:43: 9h 15min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - d3s_wrx_sti_17
30.01.2020 08:25:47: 9h 15min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Warren Blades(76561198281290777) - d3s_FPIU_13
30.01.2020 08:25:56: 9h 16min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - C_man_1
30.01.2020 08:26:04: 9h 16min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on [1K-12] J Shepard(76561198043298972) - d3s_FPIU_13
30.01.2020 08:26:10: 9h 16min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Javier Escuella(76561198370210333) - d3s_wrx_sti_17
30.01.2020 08:30:10: 9h 20min | Wyclef(76561198038112694) | Added 2 heroin_processeds to Wyclef!
30.01.2020 08:33:26: 9h 23min | Wyclef(76561198038112694) | Revive - civ_6(76561198166473448)
30.01.2020 08:35:15: 9h 25min | Nino Marino(76561198206026112) | Killing Rick Cheney(76561198860031547) @033011
30.01.2020 08:35:15: 9h 25min | Nino Marino(76561198206026112) | Kill - cop_3(76561198860031547)
30.01.2020 09:03:33: 9h 53min | Nino Marino(76561198206026112) | spawning Training Mine (TrainingMine_Mag)
30.01.2020 09:22:51: 10h 12min | Nino Marino(76561198206026112) | Heal - civ_9(76561198180893505)
30.01.2020 09:23:31: 10h 13min | Nino Marino(76561198206026112) | Heal - civ_9(76561198180893505)
30.01.2020 09:25:36: 10h 15min | Nino Marino(76561198206026112) | Revive - civ_9(76561198180893505)
30.01.2020 09:26:08: 10h 16min | Nino Marino(76561198206026112) | Heal - civ_9(76561198180893505)
30.01.2020 09:29:11: 10h 19min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034011..
30.01.2020 09:29:16: 10h 19min | Nino Marino(76561198206026112) | Deleting TrainingMine_Ammo @034011..
30.01.2020 09:29:20: 10h 19min | Nino Marino(76561198206026112) | Deleting TrainingMine_Ammo @034011..
30.01.2020 21:36:16: 5h 8min | Donnie Turbo(76561198041233395) | spawning 4-five .45 ACP (hgun_Pistol_heavy_01_snds_F)
30.01.2020 21:36:45: 5h 9min | Donnie Turbo(76561198041233395) | Deleting WeaponHolderSimulated @035000..
30.01.2020 21:37:18: 5h 9min | Donnie Turbo(76561198041233395) | spawning H&K MP5K-PDW (hlc_smg_mp5k_PDW)
30.01.2020 21:38:20: 5h 10min | Donnie Turbo(76561198041233395) | Teleport to [5548.7,4329.02,0](GPS: 055012)
30.01.2020 21:38:51: 5h 11min | Donnie Turbo(76561198041233395) | Teleport to [3118.62,5079.73,0](GPS: 031020)
30.01.2020 21:40:46: 5h 13min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
30.01.2020 21:43:19: 5h 15min | Donnie Turbo(76561198041233395) | noRecoil - 1
30.01.2020 21:47:14: 5h 19min | Donnie Turbo(76561198041233395) | Teleport to [2415.22,990.756,0](GPS: 024979)
30.01.2020 21:51:00: 5h 23min | Donnie Turbo(76561198041233395) | Teleport to [3506.4,3015.74,0](GPS: 035999)
30.01.2020 22:03:54: 5h 36min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:04:16: 5h 36min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:04:45: 5h 37min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:06:00: 5h 38min | Donnie Turbo(76561198041233395) | spawning Ford F-550 Super Duty Extended Cab Tow Truck'17 (d3s_fseries_17_TOW)
30.01.2020 22:07:38: 5h 39min | Donnie Turbo(76561198041233395) | Deleting d3s_fseries_17_TOW @036002..
30.01.2020 22:07:42: 5h 39min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:07:42: 5h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:07:54: 5h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:07:55: 5h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:07:55: 5h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:07:55: 5h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:07:55: 5h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:07:56: 5h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:08:01: 5h 40min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:08:50: 5h 41min | Donnie Turbo(76561198041233395) | Vehicle God Mode - 1
30.01.2020 22:08:59: 5h 41min | Donnie Turbo(76561198041233395) | Vehicle God Mode - 0
30.01.2020 22:09:12: 5h 41min | Donnie Turbo(76561198041233395) | Restore - civ_2(76561198041233395)
30.01.2020 22:10:11: 5h 42min | Donnie Turbo(76561198041233395) | spawning Ford F-550 Super Duty Extended Cab Tow Truck'17 (d3s_fseries_17_TOW)
30.01.2020 22:11:22: 5h 43min | Donnie Turbo(76561198041233395) | Deleting d3s_fseries_17_TOW @036001..
30.01.2020 22:13:12: 5h 45min | Donnie Turbo(76561198041233395) | Vehicle God Mode - 1
30.01.2020 22:13:16: 5h 45min | Donnie Turbo(76561198041233395) | HealRepairNear
30.01.2020 22:21:07: 5h 53min | Nino Marino(76561198206026112) | Teleport to [3127.93,5082.52,0](GPS: 031020)
30.01.2020 22:26:20: 5h 58min | Donnie Turbo(76561198041233395) | Teleport to [3261.06,5126.27,0](GPS: 032020)
30.01.2020 23:02:43: 6h 35min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @076002..
30.01.2020 23:27:52: 6h 60min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
30.01.2020 23:27:56: 6h 60min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3601.35,3389.67,0](GPS: 036003)
30.01.2020 23:30:57: 7h 3min | Nino Marino(76561198206026112) | Added 1 etablis to Nino Marino!
30.01.2020 23:44:17: 7h 16min | Nino Marino(76561198206026112) | God Mode - 1
30.01.2020 23:44:18: 7h 16min | Nino Marino(76561198206026112) | God Mode - 0
30.01.2020 23:44:50: 7h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3663.8,3236.79,0](GPS: 036001)
30.01.2020 23:44:56: 7h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3663.86,3243.64,0](GPS: 036001)
30.01.2020 23:50:43: 7h 23min | Nino Marino(76561198206026112) | Added 1 slats to Donnie Turbo!
30.01.2020 23:50:46: 7h 23min | Nino Marino(76561198206026112) | Added 1 eras to Donnie Turbo!
30.01.2020 23:50:50: 7h 23min | Nino Marino(76561198206026112) | Added 1 eras to Nino Marino!
30.01.2020 23:50:53: 7h 23min | Nino Marino(76561198206026112) | Added 1 slats to Nino Marino!
30.01.2020 23:53:05: 7h 25min | Boyevik Butch-Mac Volkev(76561198089960350) | 250K Cash
30.01.2020 23:56:04: 7h 28min | Boyevik Butch-Mac Volkev(76561198089960350) | Vehboost - 1
